year,name,rank,sex
1884,Walter,13,male
1884,Arthur,14,male
1884,Fred,15,male
1884,Albert,16,male
1884,Samuel,17,male
1884,Clarence,18,male
1884,Louis,19,male
1884,Grover,20,male
1885,John,1,male
1885,William,2,male
1885,James,3,male
1885,George,4,male
1885,Charles,5,male
1885,Frank,6,male
1885,Joseph,7,male
1885,Henry,8,male
1885,Robert,9,male
1885,Thomas,10,male
1885,Edward,11,male
1885,Harry,12,male
1885,Walter,13,male
1885,Fred,14,male
1885,Arthur,15,male
1885,Albert,16,male
1885,Clarence,17,male
1885,Samuel,18,male
1885,Louis,19,male
1885,Grover,20,male
1886,John,1,male
1886,William,2,male
1886,James,3,male
1886,George,4,male
1886,Charles,5,male
1886,Frank,6,male
1886,Joseph,7,male
1886,Robert,8,male
1886,Henry,9,male
1886,Thomas,10,male
1886,Edward,11,male
1886,Harry,12,male
1886,Walter,13,male
1886,Arthur,14,male
1886,Fred,15,male
1886,Albert,16,male
1886,Clarence,17,male
1886,Samuel,18,male
1886,Louis,19,male
1886,Roy,20,male
1887,John,1,male
1887,William,2,male
1887,James,3,male
1887,George,4,male
1887,Charles,5,male
1887,Frank,6,male
1887,Joseph,7,male
1887,Henry,8,male
1887,Thomas,9,male
1887,Edward,10,male
1887,Robert,11,male
1887,Harry,12,male
1887,Walter,13,male
1887,Arthur,14,male
1887,Fred,15,male
1887,Albert,16,male
1887,Clarence,17,male
1887,Samuel,18,male
1887,Louis,19,male
1887,Roy,20,male
1888,John,1,male
1888,William,2,male
1888,James,3,male
1888,George,4,male
1888,Charles,5,male
1888,Frank,6,male
1888,Joseph,7,male
1888,Robert,8,male
1888,Harry,9,male
1888,Henry,10,male
1888,Edward,11,male
1888,Thomas,12,male
1888,Walter,13,male
1888,Arthur,14,male
1888,Fred,15,male
1888,Albert,16,male
1888,Clarence,17,male
1888,Samuel,18,male
1888,Louis,19,male
1888,Roy,20,male
1889,John,1,male
1889,William,2,male
1889,James,3,male
1889,George,4,male
1889,Charles,5,male
1889,Frank,6,male
1889,Joseph,7,male
1889,Harry,8,male
1889,Robert,9,male
1889,Edward,10,male
1889,Henry,11,male
1889,Thomas,12,male
1889,Walter,13,male
1889,Arthur,14,male
1889,Fred,15,male
1889,Albert,16,male
1889,Clarence,17,male
1889,Roy,18,male
1889,Louis,19,male
1889,Samuel,20,male
1890,John,1,male
1890,William,2,male
1890,James,3,male
1890,George,4,male
1890,Charles,5,male
1890,Frank,6,male
1890,Joseph,7,male
1890,Robert,8,male
1890,Henry,9,male
1890,Harry,10,male
1890,Edward,11,male
1890,Thomas,12,male
1890,Walter,13,male
1890,Arthur,14,male
1890,Fred,15,male
1890,Albert,16,male
1890,Clarence,17,male
1890,Roy,18,male
1890,Louis,19,male
1890,Samuel,20,male
1891,John,1,male
1891,William,2,male
1891,James,3,male
1891,George,4,male
1891,Charles,5,male
1891,Frank,6,male
1891,Joseph,7,male
1891,Robert,8,male
1891,Harry,9,male
1891,Henry,10,male
1891,Edward,11,male
1891,Thomas,12,male
1891,Walter,13,male
1891,Arthur,14,male
1891,Fred,15,male
1891,Albert,16,male
1891,Clarence,17,male
1891,Roy,18,male
1891,Louis,19,male
1891,Samuel,20,male
1892,John,1,male
1892,William,2,male
1892,James,3,male
1892,George,4,male
1892,Charles,5,male
1892,Frank,6,male
1892,Joseph,7,male
1892,Robert,8,male
1892,Harry,9,male
1892,Henry,10,male
1892,Edward,11,male
1892,Thomas,12,male
1892,Walter,13,male
1892,Arthur,14,male
1892,Fred,15,male
1892,Albert,16,male
1892,Clarence,17,male
1892,Roy,18,male
1892,Willie,19,male
1892,Samuel,20,male
1893,John,1,male
1893,William,2,male
1893,James,3,male
1893,George,4,male
1893,Charles,5,male
1893,Joseph,6,male
1893,Frank,7,male
1893,Robert,8,male
1893,Edward,9,male
1893,Harry,10,male
1893,Henry,11,male
1893,Thomas,12,male
1893,Walter,13,male
1893,Arthur,14,male
1893,Fred,15,male
1893,Albert,16,male
1893,Clarence,17,male
1893,Roy,18,male
1893,Willie,19,male
1893,Samuel,20,male
1894,John,1,male
1894,William,2,male
1894,James,3,male
1894,George,4,male
1894,Charles,5,male
1894,Joseph,6,male
1894,Frank,7,male
1894,Robert,8,male
1894,Henry,9,male
1894,Harry,10,male
1894,Edward,11,male
1894,Thomas,12,male
1894,Walter,13,male
1894,Arthur,14,male
1894,Fred,15,male
1894,Albert,16,male
1894,Clarence,17,male
1894,Roy,18,male
1894,Willie,19,male
1894,Earl,20,male
1895,John,1,male
1895,William,2,male
1895,James,3,male
1895,George,4,male
1895,Charles,5,male
1895,Frank,6,male
1895,Joseph,7,male
1895,Robert,8,male
1895,Henry,9,male
1895,Edward,10,male
1895,Thomas,11,male
1895,Harry,12,male
1895,Walter,13,male
1895,Arthur,14,male
1895,Fred,15,male
1895,Albert,16,male
1895,Clarence,17,male
1895,Willie,18,male
1895,Roy,19,male
1895,Paul,20,male
1896,John,1,male
1896,William,2,male
1896,James,3,male
1896,George,4,male
1896,Charles,5,male
1896,Joseph,6,male
1896,Frank,7,male
1896,Robert,8,male
1896,Edward,9,male
1896,Henry,10,male
1896,Harry,11,male
1896,Thomas,12,male
1896,Walter,13,male
1896,Arthur,14,male
1896,Albert,15,male
1896,Fred,16,male
1896,Clarence,17,male
1896,Willie,18,male
1896,Roy,19,male
1896,Paul,20,male
1897,John,1,male
1897,William,2,male
1897,James,3,male
1897,George,4,male
1897,Charles,5,male
1897,Joseph,6,male
1897,Frank,7,male
1897,Robert,8,male
1897,Edward,9,male
1897,Henry,10,male
1897,Thomas,11,male
1897,Walter,12,male
1897,Harry,13,male
1897,Arthur,14,male
1897,Albert,15,male
1897,Fred,16,male
1897,Clarence,17,male
1897,Willie,18,male
1897,Roy,19,male
1897,Paul,20,male
1898,John,1,male
1898,William,2,male
1898,James,3,male
1898,George,4,male
1898,Charles,5,male
1898,Joseph,6,male
1898,Robert,7,male
1898,Frank,8,male
1898,Edward,9,male
1898,Thomas,10,male
1898,Henry,11,male
1898,Harry,12,male
1898,Walter,13,male
1898,Arthur,14,male
1898,Fred,15,male
1898,Albert,16,male
1898,Clarence,17,male
1898,Willie,18,male
1898,Dewey,19,male
1898,Roy,20,male
1899,John,1,male
1899,William,2,male
1899,James,3,male
1899,George,4,male
1899,Charles,5,male
1899,Joseph,6,male
1899,Robert,7,male
1899,Frank,8,male
1899,Edward,9,male
1899,Henry,10,male
1899,Thomas,11,male
1899,Walter,12,male
1899,Harry,13,male
1899,Arthur,14,male
1899,Albert,15,male
1899,Fred,16,male
1899,Clarence,17,male
1899,Willie,18,male
1899,Harold,19,male
1899,Roy,20,male
1900,John,1,male
1900,William,2,male
1900,James,3,male
1900,George,4,male
1900,Charles,5,male
1900,Robert,6,male
1900,Joseph,7,male
1900,Frank,8,male
1900,Edward,9,male
1900,Henry,10,male
1900,Thomas,11,male
1900,Walter,12,male
1900,Harry,13,male
1900,Willie,14,male
1900,Arthur,15,male
1900,Albert,16,male
1900,Fred,17,male
1900,Clarence,18,male
1900,Paul,19,male
1900,Harold,20,male
1901,John,1,male
1901,William,2,male
1901,James,3,male
1901,George,4,male
1901,Charles,5,male
1901,Joseph,6,male
1901,Robert,7,male
1901,Frank,8,male
1901,Edward,9,male
1901,Henry,10,male
1901,Thomas,11,male
1901,Walter,12,male
1901,Harry,13,male
1901,Arthur,14,male
1901,Albert,15,male
1901,Willie,16,male
1901,Clarence,17,male
1901,Fred,18,male
1901,Paul,19,male
1901,Roy,20,male
1902,John,1,male
1902,William,2,male
1902,James,3,male
1902,George,4,male
1902,Charles,5,male
1902,Robert,6,male
1902,Joseph,7,male
1902,Frank,8,male
1902,Edward,9,male
1902,Henry,10,male
1902,Thomas,11,male
1902,Walter,12,male
1902,Harry,13,male
1902,Willie,14,male
1902,Arthur,15,male
1902,Albert,16,male
1902,Clarence,17,male
1902,Fred,18,male
1902,Harold,19,male
1902,Paul,20,male
1903,John,1,male
1903,William,2,male
1903,James,3,male
1903,George,4,male
1903,Charles,5,male
1903,Joseph,6,male
1903,Robert,7,male
1903,Frank,8,male
1903,Edward,9,male
1903,Thomas,10,male
1903,Henry,11,male
1903,Walter,12,male
1903,Harry,13,male
1903,Willie,14,male
1903,Arthur,15,male
1903,Albert,16,male
1903,Clarence,17,male
1903,Fred,18,male
1903,Paul,19,male
1903,Harold,20,male
1904,John,1,male
1904,William,2,male
1904,James,3,male
1904,George,4,male
1904,Robert,5,male
1904,Charles,6,male
1904,Joseph,7,male
1904,Frank,8,male
1904,Edward,9,male
1904,Henry,10,male
1904,Thomas,11,male
1904,Walter,12,male
1904,Harry,13,male
1904,Willie,14,male
1904,Arthur,15,male
1904,Albert,16,male
1904,Clarence,17,male
1904,Fred,18,male
1904,Paul,19,male
1904,Harold,20,male
1905,John,1,male
1905,William,2,male
1905,James,3,male
1905,George,4,male
1905,Charles,5,male
1905,Robert,6,male
1905,Joseph,7,male
1905,Frank,8,male
1905,Edward,9,male
1905,Thomas,10,male
1905,Henry,11,male
1905,Walter,12,male
1905,Willie,13,male
1905,Harry,14,male
1905,Albert,15,male
1905,Arthur,16,male
1905,Clarence,17,male
1905,Fred,18,male
1905,Paul,19,male
1905,Harold,20,male
1906,John,1,male
1906,William,2,male
1906,James,3,male
1906,George,4,male
1906,Robert,5,male
1906,Charles,6,male
1906,Joseph,7,male
1906,Frank,8,male
1906,Edward,9,male
1906,Thomas,10,male
1906,Henry,11,male
1906,Walter,12,male
1906,Willie,13,male
1906,Harry,14,male
1906,Arthur,15,male
1906,Albert,16,male
1906,Harold,17,male
1906,Clarence,18,male
1906,Paul,19,male
1906,Fred,20,male
1907,John,1,male
1907,William,2,male
1907,James,3,male
1907,George,4,male
1907,Robert,5,male
1907,Charles,6,male
1907,Joseph,7,male
1907,Frank,8,male
1907,Edward,9,male
1907,Henry,10,male
1907,Thomas,11,male
1907,Walter,12,male
1907,Willie,13,male
1907,Harry,14,male
1907,Albert,15,male
1907,Arthur,16,male
1907,Harold,17,male
1907,Clarence,18,male
1907,Fred,19,male
1907,Paul,20,male
1908,John,1,male
1908,William,2,male
1908,James,3,male
1908,George,4,male
1908,Robert,5,male
1908,Joseph,6,male
1908,Charles,7,male
1908,Frank,8,male
1908,Edward,9,male
1908,Thomas,10,male
1908,Henry,11,male
1908,Walter,12,male
1908,Willie,13,male
1908,Harry,14,male
1908,Albert,15,male
1908,Arthur,16,male
1908,Harold,17,male
1908,Paul,18,male
1908,Clarence,19,male
1908,Fred,20,male
1909,John,1,male
1909,William,2,male
1909,James,3,male
1909,George,4,male
1909,Robert,5,male
1909,Joseph,6,male
1909,Charles,7,male
1909,Frank,8,male
1909,Edward,9,male
1909,Thomas,10,male
1909,Henry,11,male
1909,Walter,12,male
1909,Willie,13,male
1909,Harry,14,male
1909,Albert,15,male
1909,Harold,16,male
1909,Paul,17,male
1909,Arthur,18,male
1909,Clarence,19,male
1909,Raymond,20,male
1910,John,1,male
1910,James,2,male
1910,William,3,male
1910,Robert,4,male
1910,George,5,male
1910,Joseph,6,male
1910,Charles,7,male
1910,Frank,8,male
1910,Edward,9,male
1910,Henry,10,male
1910,Willie,11,male
1910,Thomas,12,male
1910,Walter,13,male
1910,Albert,14,male
1910,Paul,15,male
1910,Harry,16,male
1910,Arthur,17,male
1910,Harold,18,male
1910,Raymond,19,male
1910,Clarence,20,male
1911,John,1,male
1911,William,2,male
1911,James,3,male
1911,George,4,male
1911,Robert,5,male
1911,Joseph,6,male
1911,Charles,7,male
1911,Frank,8,male
1911,Edward,9,male
1911,Thomas,10,male
1911,Henry,11,male
1911,Walter,12,male
1911,Harry,13,male
1911,Willie,14,male
1911,Albert,15,male
1911,Harold,16,male
1911,Paul,17,male
1911,Arthur,18,male
1911,Raymond,19,male
1911,Richard,20,male
1912,John,1,male
1912,William,2,male
1912,James,3,male
1912,Robert,4,male
1912,Joseph,5,male
1912,George,6,male
1912,Charles,7,male
1912,Edward,8,male
1912,Frank,9,male
1912,Thomas,10,male
1912,Walter,11,male
1912,Henry,12,male
1912,Harold,13,male
1912,Paul,14,male
1912,Arthur,15,male
1912,Harry,16,male
1912,Albert,17,male
1912,Raymond,18,male
1912,Richard,19,male
1912,Louis,20,male
1913,John,1,male
1913,William,2,male
1913,James,3,male
1913,Robert,4,male
1913,Joseph,5,male
1913,George,6,male
1913,Charles,7,male
1913,Edward,8,male
1913,Frank,9,male
1913,Thomas,10,male
1913,Walter,11,male
1913,Henry,12,male
1913,Harold,13,male
1913,Paul,14,male
1913,Harry,15,male
1913,Albert,16,male
1913,Arthur,17,male
1913,Raymond,18,male
1913,Richard,19,male
1913,Louis,20,male
1914,John,1,male
1914,William,2,male
1914,James,3,male
1914,Robert,4,male
1914,Joseph,5,male
1914,George,6,male
1914,Charles,7,male
1914,Edward,8,male
1914,Frank,9,male
1914,Walter,10,male
1914,Thomas,11,male
1914,Henry,12,male
1914,Paul,13,male
1914,Harold,14,male
1914,Albert,15,male
1914,Raymond,16,male
1914,Richard,17,male
1914,Arthur,18,male
1914,Harry,19,male
1914,Louis,20,male
1915,John,1,male
1915,William,2,male
1915,James,3,male
1915,Robert,4,male
1915,Joseph,5,male
1915,George,6,male
1915,Charles,7,male
1915,Edward,8,male
1915,Frank,9,male
1915,Thomas,10,male
1915,Walter,11,male
1915,Harold,12,male
1915,Paul,13,male
1915,Henry,14,male
1915,Richard,15,male
1915,Raymond,16,male
1915,Albert,17,male
1915,Arthur,18,male
1915,Harry,19,male
1915,Donald,20,male
1916,John,1,male
1916,William,2,male
1916,James,3,male
1916,Robert,4,male
1916,Joseph,5,male
1916,Charles,6,male
1916,George,7,male
1916,Edward,8,male
1916,Frank,9,male
1916,Thomas,10,male
1916,Walter,11,male
1916,Paul,12,male
1916,Harold,13,male
1916,Henry,14,male
1916,Richard,15,male
1916,Raymond,16,male
1916,Albert,17,male
1916,Arthur,18,male
1916,Harry,19,male
1916,Donald,20,male
1917,John,1,male
1917,William,2,male
1917,James,3,male
1917,Robert,4,male
1917,Joseph,5,male
1917,George,6,male
1917,Charles,7,male
1917,Edward,8,male
1917,Frank,9,male
1917,Thomas,10,male
1917,Walter,11,male
1917,Harold,12,male
1917,Paul,13,male
1917,Richard,14,male
1917,Henry,15,male
1917,Raymond,16,male
1917,Arthur,17,male
1917,Albert,18,male
1917,Harry,19,male
1917,Donald,20,male
1918,John,1,male
1918,William,2,male
1918,James,3,male
1918,Robert,4,male
1918,Charles,5,male
1918,George,6,male
1918,Joseph,7,male
1918,Edward,8,male
1918,Frank,9,male
1918,Thomas,10,male
1918,Walter,11,male
1918,Richard,12,male
1918,Harold,13,male
1918,Paul,14,male
1918,Raymond,15,male
1918,Henry,16,male
1918,Arthur,17,male
1918,Donald,18,male
1918,Albert,19,male
1918,Harry,20,male
1919,John,1,male
1919,William,2,male
1919,James,3,male
1919,Robert,4,male
1919,Charles,5,male
1919,George,6,male
1919,Joseph,7,male
1919,Edward,8,male
1919,Frank,9,male
1919,Thomas,10,male
1919,Walter,11,male
1919,Richard,12,male
1919,Harold,13,male
1919,Raymond,14,male
1919,Paul,15,male
1919,Henry,16,male
1919,Donald,17,male
1919,Albert,18,male
1919,Arthur,19,male
1919,Harry,20,male
1920,John,1,male
1920,William,2,male
1920,Robert,3,male
1920,James,4,male
1920,Charles,5,male
1920,George,6,male
1920,Joseph,7,male
1920,Edward,8,male
1920,Frank,9,male
1920,Richard,10,male
1920,Thomas,11,male
1920,Harold,12,male
1920,Walter,13,male
1920,Paul,14,male
1920,Raymond,15,male
1920,Donald,16,male
1920,Henry,17,male
1920,Arthur,18,male
1920,Albert,19,male
1920,Jack,20,male
1921,John,1,male
1921,Robert,2,male
1921,William,3,male
1921,James,4,male
1921,Charles,5,male
1921,George,6,male
1921,Joseph,7,male
1921,Edward,8,male
1921,Frank,9,male
1921,Richard,10,male
1921,Thomas,11,male
1921,Harold,12,male
1921,Donald,13,male
1921,Paul,14,male
1921,Walter,15,male
1921,Raymond,16,male
1921,Henry,17,male
1921,Jack,18,male
1921,Arthur,19,male
1921,Albert,20,male
1922,John,1,male
1922,Robert,2,male
1922,William,3,male
1922,James,4,male
1922,Charles,5,male
1922,George,6,male
1922,Joseph,7,male
1922,Edward,8,male
1922,Richard,9,male
1922,Frank,10,male
1922,Thomas,11,male
1922,Donald,12,male
1922,Harold,13,male
1922,Paul,14,male
1922,Walter,15,male
1922,Raymond,16,male
1922,Henry,17,male
1922,Jack,18,male
1922,Arthur,19,male
1922,Albert,20,male
1923,John,1,male
1923,Robert,2,male
1923,William,3,male
1923,James,4,male
1923,Charles,5,male
1923,George,6,male
1923,Joseph,7,male
1923,Edward,8,male
1923,Richard,9,male
1923,Donald,10,male
1923,Frank,11,male
1923,Thomas,12,male
1923,Harold,13,male
1923,Paul,14,male
1923,Raymond,15,male
1923,Walter,16,male
1923,Jack,17,male
1923,Henry,18,male
1923,Arthur,19,male
1923,Albert,20,male
1924,Robert,1,male
1924,John,2,male
1924,William,3,male
1924,James,4,male
1924,Charles,5,male
1924,George,6,male
1924,Joseph,7,male
1924,Richard,8,male
1924,Edward,9,male
1924,Donald,10,male
1924,Thomas,11,male
1924,Frank,12,male
1924,Harold,13,male
1924,Paul,14,male
1924,Raymond,15,male
1924,Walter,16,male
1924,Jack,17,male
1924,Henry,18,male
1924,Kenneth,19,male
1924,Arthur,20,male
1925,Robert,1,male
1925,John,2,male
1925,William,3,male
1925,James,4,male
1925,Charles,5,male
1925,George,6,male
1925,Joseph,7,male
1925,Richard,8,male
1925,Edward,9,male
1925,Donald,10,male
1925,Thomas,11,male
1925,Frank,12,male
1925,Paul,13,male
1925,Harold,14,male
1925,Raymond,15,male
1925,Walter,16,male
1925,Jack,17,male
1925,Henry,18,male
1925,Kenneth,19,male
1925,Arthur,20,male
1926,Robert,1,male
1926,John,2,male
1926,James,3,male
1926,William,4,male
1926,Charles,5,male
1926,George,6,male
1926,Richard,7,male
1926,Joseph,8,male
1926,Donald,9,male
1926,Edward,10,male
1926,Thomas,11,male
1926,Frank,12,male
1926,Paul,13,male
1926,Harold,14,male
1926,Raymond,15,male
1926,Jack,16,male
1926,Walter,17,male
1926,Kenneth,18,male
1926,Henry,19,male
1926,Arthur,20,male
1927,Robert,1,male
1927,John,2,male
1927,James,3,male
1927,William,4,male
1927,Charles,5,male
1927,Richard,6,male
1927,George,7,male
1927,Donald,8,male
1927,Joseph,9,male
1927,Edward,10,male
1927,Thomas,11,male
1927,Frank,12,male
1927,Paul,13,male
1927,Harold,14,male
1927,Raymond,15,male
1927,Jack,16,male
1927,Walter,17,male
1927,Kenneth,18,male
1927,Henry,19,male
1927,Eugene,20,male
1928,Robert,1,male
1928,John,2,male
1928,James,3,male
1928,William,4,male
1928,Charles,5,male
1928,Richard,6,male
1928,Donald,7,male
1928,George,8,male
1928,Joseph,9,male
1928,Edward,10,male
1928,Thomas,11,male
1928,Frank,12,male
1928,Paul,13,male
1928,Harold,14,male
1928,Jack,15,male
1928,Raymond,16,male
1928,Kenneth,17,male
1928,Walter,18,male
1928,David,19,male
1928,Eugene,20,male
1929,Robert,1,male
1929,James,2,male
1929,John,3,male
1929,William,4,male
1929,Charles,5,male
1929,Richard,6,male
1929,Donald,7,male
1929,George,8,male
1929,Joseph,9,male
1929,Edward,10,male
1929,Thomas,11,male
1929,Frank,12,male
1929,Paul,13,male
1929,Jack,14,male
1929,Raymond,15,male
1929,Harold,16,male
1929,David,17,male
1929,Kenneth,18,male
1929,Walter,19,male
1929,Eugene,20,male
1930,Robert,1,male
1930,James,2,male
1930,John,3,male
1930,William,4,male
1930,Richard,5,male
1930,Charles,6,male
1930,Donald,7,male
1930,George,8,male
1930,Joseph,9,male
1930,Edward,10,male
1930,Thomas,11,male
1930,Paul,12,male
1930,Frank,13,male
1930,Jack,14,male
1930,David,15,male
1930,Raymond,16,male
1930,Kenneth,17,male
1930,Harold,18,male
1930,Walter,19,male
1930,Billy,20,male
1931,Robert,1,male
1931,James,2,male
1931,John,3,male
1931,William,4,male
1931,Richard,5,male
1931,Charles,6,male
1931,Donald,7,male
1931,George,8,male
1931,Joseph,9,male
1931,Thomas,10,male
1931,Edward,11,male
1931,Paul,12,male
1931,David,13,male
1931,Kenneth,14,male
1931,Jack,15,male
1931,Frank,16,male
1931,Raymond,17,male
1931,Harold,18,male
1931,Billy,19,male
1931,Walter,20,male
1932,Robert,1,male
1932,James,2,male
1932,John,3,male
1932,William,4,male
1932,Richard,5,male
1932,Charles,6,male
1932,Donald,7,male
1932,George,8,male
1932,Joseph,9,male
1932,Thomas,10,male
1932,Edward,11,male
1932,David,12,male
1932,Paul,13,male
1932,Kenneth,14,male
1932,Frank,15,male
1932,Ronald,16,male
1932,Jack,17,male
1932,Harold,18,male
1932,Raymond,19,male
1932,Billy,20,male
1933,Robert,1,male
1933,James,2,male
1933,John,3,male
1933,William,4,male
1933,Richard,5,male
1933,Charles,6,male
1933,Donald,7,male
1933,George,8,male
1933,Joseph,9,male
1933,Thomas,10,male
1933,Edward,11,male
1933,Ronald,12,male
1933,David,13,male
1933,Paul,14,male
1933,Kenneth,15,male
1933,Frank,16,male
1933,Jack,17,male
1933,Harold,18,male
1933,Raymond,19,male
1933,Billy,20,male
1934,Robert,1,male
1934,James,2,male
1934,John,3,male
1934,William,4,male
1934,Richard,5,male
1934,Donald,6,male
1934,Charles,7,male
1934,George,8,male
1934,Thomas,9,male
1934,Joseph,10,male
1934,Ronald,11,male
1934,David,12,male
1934,Edward,13,male
1934,Paul,14,male
1934,Kenneth,15,male
1934,Frank,16,male
1934,Jack,17,male
1934,Harold,18,male
1934,Raymond,19,male
1934,Billy,20,male
1935,Robert,1,male
1935,James,2,male
1935,John,3,male
1935,William,4,male
1935,Richard,5,male
1935,Charles,6,male
1935,Donald,7,male
1935,George,8,male
1935,Thomas,9,male
1935,Joseph,10,male
1935,David,11,male
1935,Ronald,12,male
1935,Edward,13,male
1935,Paul,14,male
1935,Kenneth,15,male
1935,Frank,16,male
1935,Raymond,17,male
1935,Jack,18,male
1935,Billy,19,male
1935,Harold,20,male
1936,Robert,1,male
1936,James,2,male
1936,John,3,male
1936,William,4,male
1936,Richard,5,male
1936,Charles,6,male
1936,Donald,7,male
1936,Thomas,8,male
1936,George,9,male
1936,David,10,male
1936,Joseph,11,male
1936,Ronald,12,male
1936,Edward,13,male
1936,Kenneth,14,male
1936,Paul,15,male
1936,Frank,16,male
1936,Raymond,17,male
1936,Jerry,18,male
1936,Gerald,19,male
1936,Jack,20,male
1937,Robert,1,male
1937,James,2,male
1937,John,3,male
1937,William,4,male
1937,Richard,5,male
1937,Charles,6,male
1937,Donald,7,male
1937,David,8,male
1937,Thomas,9,male
1937,George,10,male
1937,Ronald,11,male
1937,Joseph,12,male
1937,Edward,13,male
1937,Kenneth,14,male
1937,Paul,15,male
1937,Larry,16,male
1937,Jerry,17,male
1937,Frank,18,male
1937,Raymond,19,male
1937,Gerald,20,male
1938,Robert,1,male
1938,James,2,male
1938,John,3,male
1938,William,4,male
1938,Richard,5,male
1938,Charles,6,male
1938,Donald,7,male
1938,David,8,male
1938,Thomas,9,male
1938,Ronald,10,male
1938,George,11,male
1938,Joseph,12,male
1938,Edward,13,male
1938,Kenneth,14,male
1938,Paul,15,male
1938,Larry,16,male
1938,Jerry,17,male
1938,Frank,18,male
1938,Gerald,19,male
1938,Raymond,20,male
1939,Robert,1,male
1939,James,2,male
1939,John,3,male
1939,William,4,male
1939,Richard,5,male
1939,Charles,6,male
1939,David,7,male
1939,Donald,8,male
1939,Thomas,9,male
1939,Ronald,10,male
1939,George,11,male
1939,Joseph,12,male
1939,Kenneth,13,male
1939,Larry,14,male
1939,Edward,15,male
1939,Jerry,16,male
1939,Paul,17,male
1939,Michael,18,male
1939,Gerald,19,male
1939,Frank,20,male
1940,James,1,male
1940,Robert,2,male
1940,John,3,male
1940,William,4,male
1940,Richard,5,male
1940,Charles,6,male
1940,David,7,male
1940,Thomas,8,male
1940,Donald,9,male
1940,Ronald,10,male
1940,George,11,male
1940,Joseph,12,male
1940,Larry,13,male
1940,Jerry,14,male
1940,Kenneth,15,male
1940,Edward,16,male
1940,Paul,17,male
1940,Michael,18,male
1940,Gary,19,male
1940,Frank,20,male
1941,James,1,male
1941,Robert,2,male
1941,John,3,male
1941,William,4,male
1941,Richard,5,male
1941,Charles,6,male
1941,David,7,male
1941,Thomas,8,male
1941,Ronald,9,male
1941,Donald,10,male
1941,Larry,11,male
1941,Joseph,12,male
1941,George,13,male
1941,Jerry,14,male
1941,Kenneth,15,male
1941,Michael,16,male
1941,Edward,17,male
1941,Paul,18,male
1941,Gary,19,male
1941,Gerald,20,male
1942,James,1,male
1942,Robert,2,male
1942,John,3,male
1942,William,4,male
1942,Richard,5,male
1942,David,6,male
1942,Charles,7,male
1942,Thomas,8,male
1942,Ronald,9,male
1942,Donald,10,male
1942,Joseph,11,male
1942,Larry,12,male
1942,Michael,13,male
1942,George,14,male
1942,Kenneth,15,male
1942,Jerry,16,male
1942,Edward,17,male
1942,Gary,18,male
1942,Paul,19,male
1942,Dennis,20,male
1943,James,1,male
1943,Robert,2,male
1943,John,3,male
1943,William,4,male
1943,Richard,5,male
1943,David,6,male
1943,Charles,7,male
1943,Thomas,8,male
1943,Ronald,9,male
1943,Michael,10,male
1943,Donald,11,male
1943,Larry,12,male
1943,Joseph,13,male
1943,George,14,male
1943,Kenneth,15,male
1943,Gary,16,male
1943,Jerry,17,male
1943,Edward,18,male
1943,Paul,19,male
1943,Dennis,20,male
1944,James,1,male
1944,Robert,2,male
1944,John,3,male
1944,William,4,male
1944,Richard,5,male
1944,David,6,male
1944,Charles,7,male
1944,Thomas,8,male
1944,Michael,9,male
1944,Ronald,10,male
1944,Donald,11,male
1944,Larry,12,male
