Coaster,Park,City,State,Type,Design,Year,Speed,Height,Drop,Length,Duration,Inversions
Montu,Busch Gardens Tampa,Tampa,Florida,Steel,Inverted,1996,60,150,128,3983,180,7
Pegasus,Big Chief Carts And Coasters,Wisconsin Dells,Wisconsin,Wood,Sit Down,1996,NA,60,45,NA,NA,0
Wild Thing,Valleyfair!,Shakopee,Minnesota,Steel,Sit Down,1996,74,207,196,5460,180,0
Wildcat,Hersheypark,Hershey,Pennsylvania,Wood,Sit Down,1996,50,90,85,3183,NA,0
Alpengeist,Busch Gardens Williamsburg,Williamsburg,Virginia,Steel,Inverted,1997,67,195,170,3828,190,NA
Chang,Six Flags Kentucky Kingdom,Louisville,Kentucky,Steel,Stand Up,1997,63,154,144,4155,150,5
Cyclone,Williams Grove Park,Mechanicsburg,Pennsylvania,Wood,Sit Down,1997,NA,65,60,2300,NA,0
Great White,SeaWorld Of Texas,San Antonio,Texas,Steel,Inverted,1997,50,108,81,2562,120,5
Manhattan Express,"New York, New York Hotel & Casino",Las Vegas,Nevada,Steel,Sit Down,1997,67,203,144,4777,160,2
Steel Force,Dorney Park,Allentown,Pennsylvania,Steel,Sit Down,1997,75,200,205,5600,180,0
Superman The Escape,Six Flags Magic Mountain,Valencia,California,Steel,Sit Down,1997,100,415,328,1235,28,0
Wild Thing,Wild Waves and Enchanted Village,Federal Way,Washington,Steel,Sit Down,1997,NA,NA,64,NA,60,3
Zeus,Big Chief Carts And Coasters,Wisconsin Dells,Wisconsin,Wood,Sit Down,1997,60,90,85,2900,85,0
Batman And Robin; The Chiller,Six Flags Great Adventure,Jackson,New Jersey,Steel,Sit Down,1998,70,200,139,1137,32,2
Batman And Robin; The Chiller,Six Flags Great Adventure,Jackson,New Jersey,Steel,Sit Down,1998,70,200,105,1229,48,3
Excalibur,Funtown Splashtown U.S.A.,Saco,Maine,Wood,Sit Down,1998,55,100,82,2700,118,0
GhostRider,Knotts Berry Farm,Buena Park,California,Wood,Sit Down,1998,56,118,108,4533,160,0
Great Bear,Hersheypark,Hershey,Pennsylvania,Steel,Inverted,1998,58,90,124,2800,175,4
Invertigo,Paramounts Great America,Santa Clara,California,Steel,Inverted,1998,50,161,138,1014,90,3
Mamba,Worlds of Fun,Kansas City,Missouri,Steel,Sit Down,1998,75,205,205,5600,180,0
Riddlers Revenge,Six Flags Magic Mountain,Valencia,California,Steel,Stand Up,1998,65,156,146,4370,180,6
Vapor Trail,Sesame Place,Langhorne,Pennsylvania,Steel,Sit Down,1998,27,43,56,1300,180,0
"Volcano, The Blast Coaster",Paramounts Kings Dominion,Doswell,Virginia,Steel,Inverted,1998,70,155,80,2757,NA,4
Apollos Chariot,Busch Gardens Williamsburg,Williamsburg,Virginia,Steel,Sit Down,1999,73,170,210,4882,135,0
Dueling Dragons,Universal Studios Islands of Adventure,Orlando,Florida,Steel,Inverted,1999,60,125,115,3200,145,5
Dueling Dragons,Universal Studios Islands of Adventure,Orlando,Florida,Steel,Inverted,1999,55,125,95,3200,145,5
Face/Off,Paramounts Kings Island,Kings Mills,Ohio,Steel,Inverted,1999,50,161,138,1014,90,3
Georgia Scorcher,Six Flags Over Georgia,Austell,Georgia,Steel,Stand Up,1999,54,107,101,3000,84,2
Incredible Hulk,Universal Studios Islands of Adventure,Orlando,Florida,Steel,Sit Down,1999,67,110,105,3700,135,7
Leap The Dips,Lakemont Park,Altoona,Pennsylvania,Wood,Sit Down,1999,NA,41,9,1452,60,0
Medusa,Six Flags Great Adventure,Jackson,New Jersey,Steel,Sit Down,1999,61,142,132,3985,140,7
Raging Bull,Six Flags Great America,Gurnee,Illinois,Steel,Sit Down,1999,73,202,208,5057,150,0
Silver Comet,Martins Fantasy Island,Grand Island,New York,Wood,Sit Down,1999,50,NA,82,2800,105,0
Steel Eel,SeaWorld Of Texas,San Antonio,Texas,Steel,Sit Down,1999,65,150,150,3700,100,0
Superman - Ride Of Steel,Six Flags Darien Lake,Darien Center,New York,Steel,Sit Down,1999,73,208,205,5400,122,0
Tennessee Tornado,Dollywood,Pigeon Forge,Tennessee,Steel,Sit Down,1999,63,163,128,2682,108,3
Tremors,Silverwood Theme Park,Athol,Idaho,Wood,Sit Down,1999,60,100,103,3000,100,0
Twister,Knoebels,Elysburg,Pennsylvania,Wood,Sit Down,1999,52,102,90,3900,130,0
Two-Face: The Flip Side,Six Flags America,Upper Marlboro,Maryland,Steel,Inverted,1999,50,161,138,1014,90,3
Joker's Jinx,Six Flags America,Upper Marlboro,Maryland,Steel,Sit Down,1999,60,79,NA,2750,56,4
Batman The Ride,Six Flags Fiesta Texas,San Antonio,Texas,Steel,Wing,2015,38,120,54,1019,NA,6
Arkansas Twister,Magic Springs and Crystal Falls,Hot Springs,Arkansas,Wood,Sit Down,2000,NA,95,92,3340,NA,0
Batman Knight Flight,Six Flags Worlds of Adventure,Aurora,Ohio,Steel,Sit Down,2000,65,157,148,4210,NA,5
Boss,Six Flags St. Louis,Eureka,Missouri,Wood,Sit Down,2000,66,122,150,5051,NA,0
Boulder Dash,Lake Compounce,Bristol,Connecticut,Wood,Sit Down,2000,60,NA,115,4725,150,0
Goliath,Six Flags Magic Mountain,Valencia,California,Steel,Sit Down,2000,85,235,255,4500,180,0
Hurricane,Myrtle Beach Pavilion,Myrtle Beach,South Carolina,Wood,Sit Down,2000,55,102,100,3800,120,0
Kraken,SeaWorld Orlando,Orlando,Florida,Steel,Sit Down,2000,65,149,144,4177,122,7
Medusa,Six Flags Marine World,Vallejo,California,Steel,Sit Down,2000,65,150,150,3937,195,7
Millennium Force,Cedar Point,Sandusky,Ohio,Steel,Sit Down,2000,93,310,300,6595,140,0
Son Of Beast,Paramounts Kings Island,Kings Mills,Ohio,Wood,Sit Down,2000,78,218,214,7032,140,1
Superman - Ride Of Steel,Six Flags New England,Agawam,Massachusetts,Steel,Sit Down,2000,77,208,221,5400,155,0
Superman - Ride Of Steel,Six Flags America,Upper Marlboro,Maryland,Steel,Sit Down,2000,73,200,190,5350,130,0
California Screamin,Disneys California Adventure,Anaheim,California,Steel,Sit Down,2001,55,NA,108,6072,156,1
Cheetah,Wild Adventures,Valdosta,Georgia,Wood,Sit Down,2001,52,92,90,2680,NA,0
Deja Vu,Six Flags Great America,Gurnee,Illinois,Steel,Inverted,2001,66,192,177,1204,92,3
Deja Vu,Six Flags Over Georgia,Austell,Georgia,Steel,Inverted,2001,66,192,177,1204,92,3
HyperSonic XLC,Paramounts Kings Dominion,Doswell,Virginia,Steel,Sit Down,2001,80,165,133,1560,NA,0
Nitro,Six Flags Great Adventure,Jackson,New Jersey,Steel,Sit Down,2001,80,230,215,5394,140,0
Phantoms Revenge,Kennywood Park,West Mifflin,Pennsylvania,Steel,Sit Down,2001,82,160,228,3200,117,0
Talon,Dorney Park,Allentown,Pennsylvania,Steel,Inverted,2001,58,135,120,3110,NA,4
Titan,Six Flags Over Texas,Arlington,Texas,Steel,Sit Down,2001,85,245,255,5312,210,0
Wildfire,Silver Dollar City,Branson,Missouri,Steel,Sit Down,2001,66,120,155,3073,136,5
Big Bad John,Magic Springs and Crystal Falls,Hot Springs,Arkansas,Steel,Sit Down,2002,37,32,41,2349,180,0
New Mexico Rattler,Cliffs Amusement Park,Albuquerque,New Mexico,Wood,Sit Down,2002,47,80,75,2750,75,0
Ricochet,Paramounts Kings Dominion,Doswell,Virginia,Steel,Sit Down,2002,35,52,50,1340,180,0
Superman - Ultimate Flight,Six Flags Over Georgia,Austell,Georgia,Steel,Flying,2002,NA,115,100,2760,120,2
Wicked Twister,Cedar Point,Sandusky,Ohio,Steel,Inverted,2002,72,215,206,NA,NA,0
X,Six Flags Magic Mountain,Valencia,California,Steel,4th Dimension,2002,76,175,215,3610,NA,2
Batman: The Ride,Six Flags New Orleans,New Orleans,Louisiana,Steel,Inverted,2003,50,105,80,2693,120,5
Rampage,VisionLand,Bessemer,Alabama,Wood,Sit Down,2003,56,120,102,3500,NA,0
Scream!,Six Flags Magic Mountain,Valencia,California,Steel,Sit Down,2003,63,150,141,3985,180,7
Steel Venom,Valleyfair!,Shakopee,Minnesota,Steel,Inverted,2003,68,185,175,630,NA,0
Superman - Ultimate Flight,Six Flags Great America,Gurnee,Illinois,Steel,Flying,2003,50,115,109,2798,180,2
Superman - Ultimate Flight,Six Flags Great Adventure,Jackson,New Jersey,Steel,Flying,2003,60,115,100,2759,126,2
Top Thrill Dragster,Cedar Point,Sandusky,Ohio,Steel,Sit Down,2003,120,420,400,2800,30,0
Zonga,Six Flags Marine World,Vallejo,California,Steel,Sit Down,2003,62,115,98,3675,NA,4
Dominator,Kings Dominion,Doswell,Virginia,Steel,Sit Down,2008,65,157,148,4210,126,5
Intimidator,Carowinds,Charlotte,North Carolina,Steel,Sit Down,2010,75,232,211,5316,213,0
Fury 325,Carowinds,Charlotte,North Carolina,Steel,Sit Down,2015,95,325,320,6602,205,0
Lightning Rod,Dollywood,Pigeon Forge,Tennessee,Wood,Sit Down,2016,73,NA,165,3800,192,0
StormChaser,Kentucky Kingdom,Louisville,Kentucky,Steel,Sit Down,2016,52,100,NA,2744,100,3
Superman: Krypton Coaster,Six Flags Fiesta Texas,San Antonio,Texas,Steel,Sit Down,2000,70,168,163,4025,155,6
Joker,Six Flags Great Adventure,Jackson,New Jersey,Steel,Wing,2016,38,120,54,1019,NA,6
